kpoint	raw_unitarity_max_abs	polar_unitarity_max_abs	singular_value_max_abs_deviation	raw_wfc_reconstruction_relative_frobenius	polar_wfc_reconstruction_relative_frobenius	raw_vs_polar_transform_relative_frobenius	raw_vs_polar_velocity_maximum_absolute	raw_vs_polar_velocity_relative_frobenius	raw_vs_reference_velocity_maximum_absolute	raw_vs_reference_velocity_relative_frobenius	polar_vs_reference_velocity_maximum_absolute	polar_vs_reference_velocity_relative_frobenius
44	5.20183895957870845e-12	1.77635683940025046e-15	2.66164867923635029e-12	4.55875998452516662e-16	1.80357149066708192e-12	5.54171359525172487e-13	1.35241111482806445e-10	1.31987316917949649e-12	9.89218559879328012e+01	1.17793802738102094e+00	9.89218559879426351e+01	1.17793802738134268e+00
45	3.37352368262600066e-12	2.22044604925031308e-15	1.70341518668237768e-12	3.07343717706010583e-16	1.30235470122578987e-12	4.71099101616973578e-13	1.40571086622796696e-10	1.48629547601214520e-12	8.29792135869690384e+01	1.29120465271277762e+00	8.29792135869664094e+01	1.29120465271343554e+00
46	5.08482145278321696e-12	1.33226762955018785e-15	2.60180765820905435e-12	4.33360633067508694e-16	1.76349411832096018e-12	5.42109859573158445e-13	1.32901439405962058e-10	1.29351534240841166e-12	9.86116510248843525e+01	1.17298720586251770e+00	9.86116510248947691e+01	1.17298720586275929e+00
47	4.69491112653486198e-12	1.33226762955018785e-15	2.62623256475080780e-12	3.93295623373569480e-16	1.77539764904052637e-12	5.36273333739600286e-13	2.34038571802182784e-10	1.24910224271908969e-12	1.66358014477313674e+02	1.46593440959946442e+00	1.66358014477305517e+02	1.46593440959953725e+00
48	2.28550511849334725e-12	7.77156117237609578e-16	2.00017780116468202e-12	4.41122582158595974e-16	1.23074724376724216e-12	3.96176989370288951e-13	5.86481974096386693e-11	6.78892216017495196e-13	1.36609039695526803e+02	1.48112217634651699e+00	1.36609039695525126e+02	1.48112217634667176e+00
49	4.71245265032393945e-12	1.55431223447521916e-15	2.62811994389267056e-12	3.85913954099603749e-16	1.77611831331739091e-12	5.36185733154609533e-13	2.34294373378122233e-10	1.24998287924704529e-12	1.34037300626481311e+02	1.33471631664215740e+00	1.34037300626474945e+02	1.33471631664225421e+00
50	5.16653386739562848e-12	1.33226762955018824e-15	2.64410715544727282e-12	3.45805682593059782e-16	1.79183160022148222e-12	5.50620008943259820e-13	1.34798031015365419e-10	1.31231429838852913e-12	8.41066883625060484e+01	1.22338267844650495e+00	8.41066883625146460e+01	1.22338267844680293e+00
51	3.39306360785940342e-12	8.88178419700125232e-16	1.72339920112563050e-12	2.63383740493439714e-16	9.58337449243711428e-13	3.43484925446246201e-13	1.30668809106282424e-10	8.26643447472115219e-13	5.93839094167485726e+01	1.12722111240983347e+00	5.93839094167931236e+01	1.12722111241005241e+00
52	4.71866989926184033e-12	1.33226762955018785e-15	2.64033239716354728e-12	3.86374645362830269e-16	1.78388310011189621e-12	5.38632726291072281e-13	2.34464896587675655e-10	1.25191140078471457e-12	8.47731902819475067e+01	1.18105727105460612e+00	8.47731902819434566e+01	1.18105727105476199e+00
53	5.08548758659799205e-12	1.55431223447521916e-15	2.59958721215980404e-12	3.93600504817614751e-16	1.76365086318978579e-12	5.42624695272299243e-13	1.32811249389072074e-10	1.29549651692644873e-12	9.87351752544239076e+01	1.43601325514011435e+00	9.87351752544207102e+01	1.43601325514057332e+00
