kpoint	source_band	reference_band	dominant_amplitude	phase_residual	eigenvalue_difference_ha
6	22	22	1.00000000000029576e+00	8.60822109832044721e-09	1.24104628440591114e-06
6	23	23	9.99999999999979350e-01	4.59661738461823984e-10	1.42285066662140025e-06
6	24	24	1.00000000000065348e+00	5.82851137619690962e-08	1.57644866138895168e-06
6	25	25	1.00000000000253397e+00	3.26395504067271377e-08	1.76984778033073553e-06
7	0	0	9.99999999999999223e-01	6.86885220107855521e-09	-4.73630070718655816e-08
7	1	1	9.99999999999998446e-01	4.99728335428375267e-09	1.20823272775627544e-08
7	2	2	9.99999999999998890e-01	6.46962968428045447e-09	3.54403622282450925e-08
7	3	3	1.00000000000000222e+00	7.34020813196540055e-09	6.77900678924814315e-08
7	4	4	1.00000000000000022e+00	2.05752587960490119e-08	1.24861981920521004e-07
7	5	5	9.99999999999999889e-01	1.10203079889712995e-08	1.53001829428234259e-07
7	6	6	1.00000000000000000e+00	1.68328799850632166e-08	1.57091913421947282e-07
7	7	7	1.00000000000000422e+00	1.22728877703355868e-08	1.80090047041669976e-07
7	8	8	9.99999999999999778e-01	4.02792954987980614e-09	1.85549141273888551e-07
7	9	9	1.00000000000000178e+00	8.81508331666378664e-09	2.24596364950535587e-07
7	10	10	1.00000000000000155e+00	2.42763267086554641e-08	2.76668660426082624e-07
7	11	11	9.99999999999999778e-01	1.57966491906606410e-08	3.18397956888816225e-07
7	12	12	9.99999999999998113e-01	1.18001640225404888e-08	3.26604242761874275e-07
7	13	13	9.99999999999999778e-01	6.00841062494701301e-09	3.29332303761198375e-07
7	14	14	1.00000000000000133e+00	3.20291141958972480e-09	3.61195601206176775e-07
7	15	15	9.99999999999997113e-01	2.37992267313503815e-08	3.71586350134123222e-07
7	16	16	1.00000000000000044e+00	3.01853517407741642e-08	3.85955954529393352e-07
7	17	17	9.99999999999996669e-01	1.55721995059298439e-08	4.06936488284159736e-07
7	18	18	9.99999999999999556e-01	7.47391484786430381e-09	4.57949978160954174e-07
7	19	19	9.99999999999992228e-01	1.80329250731697626e-08	5.30313382318681192e-07
7	20	20	9.99999999999977462e-01	4.47617930727839191e-09	6.28561810600558601e-07
7	21	21	9.99999999999997780e-01	7.33564665722860312e-10	7.24859493317353554e-07
7	22	22	9.99999999999992450e-01	4.76599266974266629e-10	1.13981701499454857e-06
7	23	23	1.00000000000025824e+00	3.95468425469805644e-08	1.26383485588021927e-06
7	24	24	1.00000000000070566e+00	3.46690620562098736e-10	1.49934717796895711e-06
7	25	25	1.00000000000236855e+00	1.65742507208640781e-08	1.92901766205011427e-06
8	0	0	9.99999999999998668e-01	7.14882247992808493e-09	-4.33355683421288163e-08
8	1	1	9.99999999999999778e-01	3.16733191580467072e-08	-8.22732804800496709e-09
8	2	2	9.24498939431745215e-01	3.88589913464816361e-01	7.01823387461164572e-08
8	3	3	9.24498939431746214e-01	3.88589913463970760e-01	7.01825673965483787e-08
8	4	4	9.99999999999998557e-01	9.87156375676934973e-09	1.07865907428283947e-07
8	5	5	9.19676696855002751e-01	4.00807441356982985e-01	1.36500572789355346e-07
8	6	6	9.19676696855004305e-01	4.00807441365369110e-01	1.36508160164527936e-07
8	7	7	1.00000000000000422e+00	9.27400019593451740e-09	2.33388840031878431e-07
8	8	9	7.97149401835800742e-01	8.90188624861048883e-01	2.40574856591457831e-07
8	9	8	7.97149401835800075e-01	8.90188624888299640e-01	2.40607994528296842e-07
8	10	10	1.00000000000000511e+00	1.45363823843954062e-08	2.44032933083282444e-07
8	11	11	9.96696948819534301e-01	8.12779325452093054e-02	2.64076648104349943e-07
8	12	12	9.96696948819535189e-01	8.12779325475375819e-02	2.64088392154526730e-07
8	13	13	9.99999999999991895e-01	2.54151879070236187e-08	3.53586268819761074e-07
8	14	14	9.99999999999998890e-01	2.46190635662493178e-08	3.80498594410028090e-07
8	15	16	8.66938095612852955e-01	1.00158291785712028e+00	3.95685916032562091e-07
8	16	15	8.66938095612851511e-01	1.00158291784098208e+00	3.95755115123463952e-07
8	17	18	9.36884387500360960e-01	1.14049172977766045e+00	4.49274699221291485e-07
8	18	17	9.36884387500360849e-01	1.14049172977806235e+00	4.49315253003845783e-07
8	19	19	9.99999999999982014e-01	1.01030176110976406e-08	4.85745879963417337e-07
8	20	20	9.84213799169133874e-01	1.77686244997335319e-01	8.37001346010168845e-07
8	21	21	9.84213799169138093e-01	1.77686244997351001e-01	8.37066631120819693e-07
8	22	22	7.24225292202638760e-01	7.42663729704796327e-01	9.85555405286220321e-07
8	23	23	7.24225292202654525e-01	7.42663729704498676e-01	9.85569736489111392e-07
8	24	24	1.00000000000048495e+00	6.57120184061622840e-10	1.39849876967801379e-06
8	25	25	1.00000000000335310e+00	2.50065042218497138e-10	1.99687026025685554e-06
9	0	0	9.99999999999999112e-01	1.49322381195299881e-09	-3.82134369286690756e-08
9	1	1	9.99999999999998113e-01	5.20605548647785015e-09	-1.67320651149431565e-11
9	2	2	1.00000000000000022e+00	1.14838724841337737e-08	3.82696274947580406e-08
